periodo;codigo;indice;valor
200706;86568;llegada_pax_nacional;0
200706;86573;llegada_pax_nacional;0
200706;91001;llegada_pax_nacional;296
200706;94001;llegada_pax_nacional;0
200706;95001;llegada_pax_nacional;0
200706;97001;llegada_pax_nacional;0
200706;97666;llegada_pax_nacional;0
200706;99524;llegada_pax_nacional;0
200707;5001;llegada_pax_nacional;21
200707;5031;llegada_pax_nacional;13
200707;5045;llegada_pax_nacional;0
200707;5059;llegada_pax_nacional;715
200707;5147;llegada_pax_nacional;4964
200707;5154;llegada_pax_nacional;1377
200707;5172;llegada_pax_nacional;2
200707;5250;llegada_pax_nacional;369
200707;5284;llegada_pax_nacional;3
200707;5313;llegada_pax_nacional;0
200707;5361;llegada_pax_nacional;3
200707;5475;llegada_pax_nacional;34
200707;5480;llegada_pax_nacional;0
200707;5490;llegada_pax_nacional;145
200707;5579;llegada_pax_nacional;10
200707;5585;llegada_pax_nacional;95
200707;5591;llegada_pax_nacional;104
200707;5604;llegada_pax_nacional;868
200707;5615;llegada_pax_nacional;8
200707;5837;llegada_pax_nacional;110
200707;5847;llegada_pax_nacional;5
200707;5873;llegada_pax_nacional;160
200707;8001;llegada_pax_nacional;3867
200707;8141;llegada_pax_nacional;19
200707;11001;llegada_pax_nacional;56934
200707;13001;llegada_pax_nacional;5445
200707;13430;llegada_pax_nacional;0
200707;13468;llegada_pax_nacional;0
200707;15272;llegada_pax_nacional;0
200707;15516;llegada_pax_nacional;0
200707;17001;llegada_pax_nacional;724
200707;18001;llegada_pax_nacional;11
200707;18753;llegada_pax_nacional;0
200707;19001;llegada_pax_nacional;0
200707;20001;llegada_pax_nacional;253
200707;20011;llegada_pax_nacional;0
200707;20060;llegada_pax_nacional;0
200707;20250;llegada_pax_nacional;0
200707;20400;llegada_pax_nacional;0
200707;20770;llegada_pax_nacional;0
200707;23001;llegada_pax_nacional;2803
200707;23068;llegada_pax_nacional;0
200707;23189;llegada_pax_nacional;0
200707;23466;llegada_pax_nacional;0
200707;25572;llegada_pax_nacional;0
200707;27001;llegada_pax_nacional;4541
200707;27006;llegada_pax_nacional;773
200707;27075;llegada_pax_nacional;666
200707;27077;llegada_pax_nacional;3
200707;27205;llegada_pax_nacional;299
200707;27495;llegada_pax_nacional;377
200707;41001;llegada_pax_nacional;140
200707;41298;llegada_pax_nacional;0
200707;44001;llegada_pax_nacional;133
200707;44430;llegada_pax_nacional;0
200707;44560;llegada_pax_nacional;0
200707;44847;llegada_pax_nacional;0
200707;47001;llegada_pax_nacional;2542
200707;47245;llegada_pax_nacional;0
200707;47318;llegada_pax_nacional;0
200707;50001;llegada_pax_nacional;5
200707;50568;llegada_pax_nacional;0
200707;50573;llegada_pax_nacional;0
200707;52001;llegada_pax_nacional;424
200707;52022;llegada_pax_nacional;0
200707;52835;llegada_pax_nacional;38
200707;54001;llegada_pax_nacional;1581
200707;54498;llegada_pax_nacional;0
200707;63470;llegada_pax_nacional;0
200707;66001;llegada_pax_nacional;2446
200707;68001;llegada_pax_nacional;1764
200707;68081;llegada_pax_nacional;59
200707;68669;llegada_pax_nacional;6029
200707;70215;llegada_pax_nacional;443
200707;70221;llegada_pax_nacional;0
200707;70713;llegada_pax_nacional;0
200707;70717;llegada_pax_nacional;50
200707;70823;llegada_pax_nacional;0
200707;73001;llegada_pax_nacional;535
200707;73168;llegada_pax_nacional;6
200707;73275;llegada_pax_nacional;0
200707;73443;llegada_pax_nacional;0
200707;73449;llegada_pax_nacional;0
200707;76001;llegada_pax_nacional;7681
200707;76109;llegada_pax_nacional;0
200707;76126;llegada_pax_nacional;0
200707;76147;llegada_pax_nacional;0
200707;81001;llegada_pax_nacional;0
200707;81794;llegada_pax_nacional;0
200707;85001;llegada_pax_nacional;0
200707;85225;llegada_pax_nacional;0
200707;85230;llegada_pax_nacional;0
200707;85325;llegada_pax_nacional;0
200707;86568;llegada_pax_nacional;0
200707;86573;llegada_pax_nacional;0
200707;91001;llegada_pax_nacional;302
200707;94001;llegada_pax_nacional;0
200707;95001;llegada_pax_nacional;0
200707;97001;llegada_pax_nacional;0
200707;97666;llegada_pax_nacional;0
200707;99524;llegada_pax_nacional;0
200708;5001;llegada_pax_nacional;38
200708;5031;llegada_pax_nacional;4
200708;5045;llegada_pax_nacional;0
200708;5059;llegada_pax_nacional;821
200708;5147;llegada_pax_nacional;4965
200708;5154;llegada_pax_nacional;1461
200708;5172;llegada_pax_nacional;0
200708;5250;llegada_pax_nacional;398
200708;5284;llegada_pax_nacional;0
200708;5313;llegada_pax_nacional;0
200708;5361;llegada_pax_nacional;0
200708;5475;llegada_pax_nacional;51
200708;5480;llegada_pax_nacional;0
200708;5490;llegada_pax_nacional;108
200708;5579;llegada_pax_nacional;186
200708;5585;llegada_pax_nacional;74
200708;5591;llegada_pax_nacional;120
200708;5604;llegada_pax_nacional;862
200708;5615;llegada_pax_nacional;38
200708;5837;llegada_pax_nacional;146
200708;5847;llegada_pax_nacional;4
